route,trip_id,timestamp,latitude,longitude,vehicle_id
906,12200169,1500438439,32.5529098511,-117.045951843,2711
932,12200886,1500438320,32.6290283203,-117.088821411,2848
962,12200329,1500438403,32.6761932373,-117.099060059,2721
905,12199794,1500438374,32.5535430908,-116.942863464,2722
35,12198516,1500438444,32.7536315918,-117.202606201,2723
709,12199564,1500438355,32.631149292,-117.088401794,2737
933,12200735,1500438389,32.5738639832,-117.08417511,2858
3,12201269,1500438421,32.7115592957,-117.159866333,2851
907,12200101,1500438440,32.5458984375,-117.031265259,2855
929,12198799,1500438419,32.7148284912,-117.155677795,2866
7,12340010,1500438445,32.7261314392,-117.150085449,1307
901,12200569,1500438406,32.7157363892,-117.162757874,2870
934,12200707,1500438380,32.5838470459,-117.120574951,2872
235,12340491,1500438441,32.8312911987,-117.135917664,1301
202,12341849,1500438409,32.8672332764,-117.213752747,1310
201,12341772,1500438399,32.8791427612,-117.222167969,1311
916,12198823,1500438386,32.7132072449,-117.058143616,2404
712,12200459,1500438417,32.6027946472,-117.084693909,2416
215,12340725,1500438405,32.7644386292,-117.066917419,1208
904,12200979,1500438379,32.6942596436,-117.166923523,2771
961,12199969,1500438415,32.6764945984,-117.040168762,2411
215,12340625,1500438330,32.7191200256,-117.166397095,1203
215,12340735,1500438356,32.7551727295,-117.130714417,1204
35,12198517,1500438412,32.7360877991,-117.254638672,2415
41,12341355,1500438245,32.8339042664,-117.194770813,902
30,12341099,1500438348,32.8014564514,-117.224380493,903
3,12201262,1500438418,32.7114753723,-117.151679993,2307
3,12201211,1500438392,32.7099075317,-117.086647034,2428
2,12342202,1500438398,32.7187614441,-117.165000916,906
961,12199881,1500438442,32.6602706909,-117.096298218,2309
11,12342500,1500438385,32.705783844,-117.152816772,907
215,12340653,1500438401,32.7534942627,-117.146377563,1211
955,12199662,1500438437,32.733997345,-117.079627991,2422
929,12198797,1500438376,32.573890686,-117.05430603,2304
